

=== Predictions on test data ===

    inst#     actual  predicted error prediction
        1        1:?   1:lncRNA       0.879 
        2        1:?   1:lncRNA       0.904 
        3        1:?   1:lncRNA       0.834 
        4        1:?   1:lncRNA       0.886 
        5        1:?   1:lncRNA       0.879 
        6        1:?   1:lncRNA       0.904 
        7        1:?   1:lncRNA       0.834 
        8        1:?   1:lncRNA       0.879 
        9        1:?   1:lncRNA       0.834 
       10        1:?   1:lncRNA       0.904 
       11        1:?   1:lncRNA       0.834 
       12        1:?   1:lncRNA       0.879 
       13        1:?   1:lncRNA       0.904 
       14        1:?   1:lncRNA       0.886 
       15        1:?   1:lncRNA       0.904 
       16        1:?   1:lncRNA       0.904 
       17        1:?   1:lncRNA       0.879 
       18        1:?   1:lncRNA       0.879 
       19        1:?   1:lncRNA       0.904 
       20        1:?   1:lncRNA       0.904 
       21        1:?   1:lncRNA       0.879 
       22        1:?   1:lncRNA       0.904 
       23        1:?   1:lncRNA       0.879 
       24        1:?   1:lncRNA       0.834 
       25        1:?   1:lncRNA       0.904 
       26        1:?   1:lncRNA       0.879 
       27        1:?   1:lncRNA       0.879 
       28        1:?   1:lncRNA       0.834 
       29        1:?   1:lncRNA       0.879 
       30        1:?   1:lncRNA       0.879 
       31        1:?   1:lncRNA       0.879 
       32        1:?   1:lncRNA       0.904 
       33        1:?   1:lncRNA       0.904 
       34        1:?   1:lncRNA       0.834 
       35        1:?   1:lncRNA       0.834 
       36        1:?   1:lncRNA       0.879 
       37        1:?   1:lncRNA       0.834 
       38        1:?   1:lncRNA       0.904 
       39        1:?   1:lncRNA       0.904 
       40        1:?   1:lncRNA       0.879 
       41        1:?   1:lncRNA       0.879 
       42        1:?   1:lncRNA       0.904 
       43        1:?   1:lncRNA       0.879 
       44        1:?   1:lncRNA       0.879 
       45        1:?   1:lncRNA       0.879 
       46        1:?   1:lncRNA       0.834 
       47        1:?   1:lncRNA       0.879 
       48        1:?   1:lncRNA       0.879 
       49        1:?   1:lncRNA       0.834 
       50        1:?   1:lncRNA       0.879 
       51        1:?   1:lncRNA       0.879 
       52        1:?   1:lncRNA       0.904 
       53        1:?   1:lncRNA       0.879 
       54        1:?   1:lncRNA       0.904 
       55        1:?   1:lncRNA       0.879 
       56        1:?   1:lncRNA       0.834 
       57        1:?   1:lncRNA       0.879 
       58        1:?   1:lncRNA       0.879 
       59        1:?   1:lncRNA       0.879 
       60        1:?   1:lncRNA       0.834 
       61        1:?   1:lncRNA       0.879 
       62        1:?   1:lncRNA       0.904 
       63        1:?   1:lncRNA       0.879 
       64        1:?   1:lncRNA       0.904 
       65        1:?   1:lncRNA       0.879 
       66        1:?   1:lncRNA       0.904 
       67        1:?   1:lncRNA       0.879 
       68        1:?   1:lncRNA       0.879 
       69        1:?   1:lncRNA       0.879 
       70        1:?   1:lncRNA       0.879 
       71        1:?   1:lncRNA       0.904 
       72        1:?   1:lncRNA       0.879 
       73        1:?   1:lncRNA       0.904 
       74        1:?   1:lncRNA       0.904 
       75        1:?   1:lncRNA       0.879 
       76        1:?   1:lncRNA       0.904 
       77        1:?   1:lncRNA       0.879 
       78        1:?   1:lncRNA       0.879 
       79        1:?   1:lncRNA       0.904 
       80        1:?   1:lncRNA       0.904 
       81        1:?   1:lncRNA       0.904 
       82        1:?   1:lncRNA       0.879 
       83        1:?   1:lncRNA       0.879 
       84        1:?   1:lncRNA       0.904 
       85        1:?   1:lncRNA       0.834 
       86        1:?   1:lncRNA       0.904 
       87        1:?   1:lncRNA       0.834 
       88        1:?   1:lncRNA       0.879 
       89        1:?   1:lncRNA       0.904 
       90        1:?   1:lncRNA       0.904 
       91        1:?   1:lncRNA       0.834 
       92        1:?   1:lncRNA       0.879 
       93        1:?   1:lncRNA       0.904 
       94        1:?   1:lncRNA       0.834 
       95        1:?   1:lncRNA       0.834 
       96        1:?   1:lncRNA       0.834 
       97        1:?   1:lncRNA       0.904 
       98        1:?   1:lncRNA       0.834 
       99        1:?   1:lncRNA       0.879 
      100        1:?   1:lncRNA       0.904 
      101        1:?   1:lncRNA       0.879 
      102        1:?   1:lncRNA       0.834 
      103        1:?   1:lncRNA       0.834 
      104        1:?   1:lncRNA       0.904 
      105        1:?   1:lncRNA       0.879 
      106        1:?   1:lncRNA       0.879 
      107        1:?   1:lncRNA       0.904 
      108        1:?   1:lncRNA       0.879 
      109        1:?   1:lncRNA       0.879 
      110        1:?   1:lncRNA       0.904 
      111        1:?   1:lncRNA       0.904 
      112        1:?   1:lncRNA       0.904 
      113        1:?   1:lncRNA       0.879 
      114        1:?   1:lncRNA       0.904 
      115        1:?   1:lncRNA       0.834 
      116        1:?   1:lncRNA       0.879 
      117        1:?   1:lncRNA       0.879 
      118        1:?   1:lncRNA       0.879 
      119        1:?   1:lncRNA       0.834 
      120        1:?   1:lncRNA       0.904 
      121        1:?   1:lncRNA       0.834 
      122        1:?   1:lncRNA       0.879 
      123        1:?   1:lncRNA       0.879 
      124        1:?   1:lncRNA       0.834 
      125        1:?   1:lncRNA       0.904 
      126        1:?   1:lncRNA       0.904 
      127        1:?   1:lncRNA       0.879 
      128        1:?   1:lncRNA       0.879 
      129        1:?   1:lncRNA       0.904 
      130        1:?   1:lncRNA       0.879 
      131        1:?   1:lncRNA       0.904 
      132        1:?   1:lncRNA       0.904 
      133        1:?   1:lncRNA       0.834 
      134        1:?   1:lncRNA       0.834 
      135        1:?   1:lncRNA       0.879 
      136        1:?   1:lncRNA       0.834 
      137        1:?   1:lncRNA       0.904 
      138        1:?   1:lncRNA       0.904 
      139        1:?   1:lncRNA       0.834 
      140        1:?   1:lncRNA       0.879 
      141        1:?   1:lncRNA       0.879 
      142        1:?   1:lncRNA       0.834 
      143        1:?   1:lncRNA       0.879 
      144        1:?   1:lncRNA       0.904 
      145        1:?   1:lncRNA       0.879 
      146        1:?   1:lncRNA       0.904 
      147        1:?   1:lncRNA       0.879 
      148        1:?   1:lncRNA       0.904 
      149        1:?   1:lncRNA       0.834 
      150        1:?   1:lncRNA       0.834 
      151        1:?   1:lncRNA       0.834 
      152        1:?   1:lncRNA       0.879 
      153        1:?   1:lncRNA       0.879 
      154        1:?   1:lncRNA       0.834 
      155        1:?   1:lncRNA       0.834 
      156        1:?   1:lncRNA       0.879 
      157        1:?   1:lncRNA       0.904 
      158        1:?   1:lncRNA       0.904 
      159        1:?   1:lncRNA       0.879 
      160        1:?   1:lncRNA       0.904 
      161        1:?   1:lncRNA       0.904 
      162        1:?   1:lncRNA       0.879 
      163        1:?   1:lncRNA       0.879 
      164        1:?   1:lncRNA       0.879 
      165        1:?   1:lncRNA       0.904 
      166        1:?   1:lncRNA       0.834 
      167        1:?   1:lncRNA       0.834 
      168        1:?   1:lncRNA       0.904 
      169        1:?   1:lncRNA       0.879 
      170        1:?   1:lncRNA       0.879 
      171        1:?   1:lncRNA       0.904 
      172        1:?   1:lncRNA       0.834 
      173        1:?   1:lncRNA       0.879 
      174        1:?   1:lncRNA       0.834 
      175        1:?   1:lncRNA       0.834 
      176        1:?   1:lncRNA       0.834 
      177        1:?   1:lncRNA       0.834 
      178        1:?   1:lncRNA       0.834 
      179        1:?   1:lncRNA       0.834 
      180        1:?   1:lncRNA       0.834 
      181        1:?   1:lncRNA       0.834 
      182        1:?   1:lncRNA       0.834 
      183        1:?   1:lncRNA       0.879 
      184        1:?   1:lncRNA       0.904 
      185        1:?   1:lncRNA       0.879 
      186        1:?   1:lncRNA       0.879 
      187        1:?   1:lncRNA       0.879 
      188        1:?   1:lncRNA       0.879 
      189        1:?   1:lncRNA       0.904 
      190        1:?   1:lncRNA       0.834 
      191        1:?   1:lncRNA       0.834 
      192        1:?   1:lncRNA       0.879 
      193        1:?   1:lncRNA       0.904 
      194        1:?   1:lncRNA       0.904 
      195        1:?   1:lncRNA       0.904 
      196        1:?   1:lncRNA       0.879 
      197        1:?   1:lncRNA       0.879 
      198        1:?   1:lncRNA       0.879 
      199        1:?   1:lncRNA       0.879 
      200        1:?   1:lncRNA       0.904 
      201        1:?   1:lncRNA       0.834 
      202        1:?   1:lncRNA       0.834 
      203        1:?   1:lncRNA       0.886 
      204        1:?   1:lncRNA       0.879 
      205        1:?   1:lncRNA       0.879 
